UniProt IDs,Clusters,DPC_0h_1,DPC_0h_2,DPC_0h_3,DPC_0h_4,DPC_3h_1,DPC_3h_2,DPC_3h_3,DPC_3h_4,DPC_6h_1,DPC_6h_2,DPC_6h_3,DPC_6h_4,DPC_9h_1,DPC_9h_2,DPC_9h_3,DPC_9h_4,DPC_12h_1,DPC_12h_2,DPC_12h_3,DPC_12h_4,DPC_18h_1,DPC_18h_2,DPC_18h_3,DPC_18h_4,DPC_24h_1,DPC_24h_2,DPC_24h_3,DPC_24h_4,DPC_36h_1,DPC_36h_2,DPC_36h_3,DPC_36h_4
A0A024RBG1,19,25189.73438,13440.20801,19565.13672,17490.47461,27999.10352,11120.79199,8287.486328,10820.16211,21856.6582,11681.11328,13454.28223,4097.818359,21759.94531,20616.32031,19619.52148,16366.36719,14138.65039,3968.075684,8267.55957,6094.625977,10816.15332,6768.031738,15867.15625,10154.33691,11650.06641,17188.16211,6834.367188,15492.82129,25693.22461,16681.44141,2215.3125,19322.46875
A0A096LP49,16,43690.0625,40345.23047,37148.71484,37204.87891,39428.95703,39318.33203,36062.07813,34250.29297,34548.79297,30284.49219,29425.46484,32057.87891,27456.92773,28547.27734,23392.375,27838.79883,29632.16406,22140.38672,24991.55273,20162.69727,23468.91602,20838.87305,23894.91016,30451.41016,33269.67188,17037.57617,26881.41797,27271.28906,20373.37695,13829.95605,12715.61914,18014.33203
A0A0B4J2A2,57,1060724,836391.25,1103098.75,1063019,973396.5625,821988.5625,936122.9375,1124464.625,917335,867221.1875,968433.625,332288.4063,1034843.938,933039.375,1038031.125,1040091.688,1344357.875,509589.6563,954734.25,1109135.875,1406701,1209888,1346205.125,1170810.75,1146017.375,1436768.375,1071855.5,1071148.5,1636825.375,1657817,1715740.625,1861726.875
A0A0B4J2F2,11,57807.32422,60119.07813,63978.08594,69136.92188,68128.5625,31073.24219,72903.39063,71065.42188,45719.13672,48018.70703,58614.61328,75601,14403.74609,22333.49219,42608.92188,14615.86035,6622.990723,13182.99512,8557.194336,9656.667969,5439.773438,2610.858887,5107.540527,2451.401123,2117.878906,4275.766602,2116.753174,4021.07959,3718.124756,2024.252075,3959.979736,1675.550659
A0AV96,3,14720.61035,16155.04102,15082.32422,14969.2666,14932.67773,13164.33301,14025.50586,12534.11523,14209.5791,13106.73242,13762.26953,14495.70117,12731.64355,10557.30664,10803.46484,10613.37988,4634.76123,4503.602539,7348.526855,6195.991211,5915.314453,4180.31543,6910.05957,7420.234375,5081.895996,4609.373535,5870.711914,5241.633789,7344.359375,6151.561035,4484.112305,3882.78125
A0AVK6,43,16522.56445,18600.73633,17865.74805,18601.67969,18643.3125,5125.667969,14807.13867,16103.45508,20163.18164,17906.58984,24608.78906,25849.45117,40708.28516,30109.75781,33051.39453,37454.78125,35618.66016,64701.25781,66734.375,48654.32813,29350.89844,36455.52344,46353.28516,37034.66406,54774.71484,54478.92578,58948.90625,53060.44922,37740.96875,35583.52344,42760.10156,35083.64844
A0AVT1,3,17222.83984,24763.6582,30250.36914,28884.49023,16928.29102,28179.63281,22732.48242,16664.99219,25190.92383,23202.58984,21862.68164,23435.8457,16172.26563,20952.90039,21794.42188,18866.9043,10214.30176,11753.77637,10994.19434,12525.20508,14023.56836,11324.98242,13929.8916,11283.12793,9435.869141,10697.74219,11935.40625,12972.78418,10192.43262,6024.10791,12522.97656,5104.780273
A0FGR8,41,20893.17969,17165.69922,18176.4043,20293.74805,18935.82813,12087.23145,14606.60352,11881.54395,25152.05664,17099.19727,15966.85742,17033.79297,17288.79102,18000.07227,17407.72852,16585.66406,12842.71484,9279.036133,9064.675781,10528.91113,7131.997559,7791.622559,7498.241211,9313.800781,9964.769531,10259.13086,8586.955078,9075.355469,16702.54492,12468.32617,15004.44238,14406.08691
A0JLT2,49,37593.65625,28032.05664,28467.55859,21959.01367,34682.69531,23316.44727,35804.23438,32016.7832,44664.73828,40806.97656,39243.77344,31598.5957,52831.80469,42893.07813,41270.37891,45074.875,28309.16406,36720.20703,28129.84961,31455.23438,4494.734375,6609.888672,4220.219727,8255.881836,32169.62891,44766.00781,44848.73828,36963.37891,52035.92188,39773.38281,3395.213135,5855.411133
A0MZ66,59,29056.75195,32836.45703,30119.30664,30416.28125,29155.36328,30256.35938,33450.51172,30839.00195,31779.19531,37992.16016,36628.48047,37119.50781,31567.11133,30860.6875,33907.05078,34367.375,27237.67969,25632.22461,25835.41602,25847.00391,22906.5332,23229.52344,21973.13086,23733.74609,26107.49414,23131.32617,24834.89844,24974.48047,27918.18359,26005.67773,27181.73047,27405.4668
A1L0T0,28,35199.125,35886.66016,36962.28516,38643.55469,29708.70898,31485.83984,25030.81836,31670.04883,36484.24609,31963.76953,38385.54688,38625.68359,41666.72266,40351.74609,36095.60938,42888.46484,22938.44922,19259.32617,23778.58789,23803.58984,29393.3418,23939.69141,25366.02539,25323.11719,33636.53906,25117.77539,27691.57227,30248.23633,48734.83984,52818.58984,59800.83203,52984.58984
A1L390,61,12021.93359,12513.96387,11311.03711,10823.97461,11329.15039,9397.3125,12337.43359,9379.056641,12087.47754,10786.12598,12178.79883,13837.52148,13833.65723,7491.765137,9670.918945,2153.642334,11449.91309,2251.5979,4691.246094,5849.786621,7512.796387,3840.371338,8001.48584,2420.018799,4130.267578,8079.910645,3878.012207,2394.902344,7239.837891,7427.779785,3565.016846,6148.256836
A2RRD8,56,46519.11328,58789.84375,54326.01953,62714.16016,57500.93359,64203.45313,65464.58203,70372.01563,79865.82031,86481.72656,104960.7422,85796.63281,94130.98438,82180.73438,94685.10938,103080.4063,91640.53125,85567.50781,93190.38281,12147.61719,45769.61719,53654.54297,46517.63672,60216.48438,38315.24609,9924.427734,5530.42627,8405.078125,7065.861816,19019.55273,6910.918945,3237.674561
A3KN83,53,26430.20703,25346.23242,26637.74609,25969.67578,26256.34961,25992.6582,25837,25177.88867,24772.01758,24262.80273,23510.13086,24444.64453,22374.5918,23384.5918,24293.45898,23608.04883,21359.19922,20324.58594,20507.30078,20575.85938,18074.91211,17922.90039,19830.96094,18401.22852,16083.17676,17752.75977,16046.45215,16376.85645,15179.65625,13915.07031,13965.08398,13815.87793
A5YKK6,12,27706.61523,27926.76172,26817.80273,27684.26758,24960.61914,26118.64844,25467.98047,24301.88672,31291.04688,30275.12695,28942.38477,29342.62695,25671.45313,26616.52734,26699.89844,25637.02148,22643.15039,19797.58398,19591.17578,19411.04297,17722.74609,15883.13965,16753.36914,17925.0918,19191.9668,17018.57031,15025.92871,19051.55664,20177.84961,18705.32227,15226.06836,19245.63086
A6NCC3,44,35944.17188,20451.27734,27322.03125,25434.79883,41856.31641,7629.362793,2581.510742,10482.42383,26577.30664,25864.83984,3203.51416,15376.06738,31927.74023,23233.04492,15651.23828,11012.55371,18686.10156,27087.42383,18775.77734,13999.37598,22261.99805,21781.67773,24087.21875,12586.05078,4519.106445,35896.11328,43545.11328,2620.367432,3059.272705,6788.668457,27056.91992,5619.239746
A6NDG6,12,36172.87891,32129.89258,29492.2793,36041.41406,32832.60156,28935.81445,26838.32031,24399.03516,38261.66797,38333.73828,32417.88672,32188.70508,34719.29297,32053.51758,33808.45313,31333.21484,23702.47656,18122.51563,17921.62695,18655.01758,20525.58008,18110.33789,19882.86719,21932.78125,17810.98047,21426.31641,17777.07422,17782.20313,25590.81641,22067.47266,22615.10547,18766.93555
A6NDU8,6,48340.95703,50244.53516,40859.60547,44103.26953,37341.36328,42296.36719,38651.26172,37392.52344,47460.55469,39691.67188,44877.46875,45198.05859,44943.48438,46539.66406,51398.71875,48088.67188,33867.44141,24629.30664,17991.14648,28266.45898,23539.66797,17322.80469,19789.61523,26224.66797,27746.93359,29651.58203,26374.25781,22032.60547,31028.49609,30594.41016,21281.10547,17320.64844
A6NED2,26,2379.226074,9749.27832,11220.31348,10147.27832,8857.213867,6130.551758,6130.416992,3188.316162,11724.41895,11549.22168,9662.637695,8656.388672,8049.285156,4287.77832,11958.22168,4258.982422,15839.26563,1809.106812,1676.188599,5994.969727,9785.086914,1545.938354,7564.544434,2067.922607,5896.208984,3799.705566,4704.723145,6999.979492,3455.711182,3474.934082,6337.715332,3557.338623
