"","DPC_0h_1","DPC_0h_2","DPC_0h_3","DPC_0h_4","DPC_3h_1","DPC_3h_2","DPC_3h_3","DPC_3h_4","DPC_6h_1","DPC_6h_2","DPC_6h_3","DPC_6h_4","DPC_9h_1","DPC_9h_2","DPC_9h_3","DPC_9h_4","DPC_12h_1","DPC_12h_2","DPC_12h_3","DPC_12h_4","DPC_18h_1","DPC_18h_2","DPC_18h_3","DPC_18h_4","DPC_24h_1","DPC_24h_2","DPC_24h_3","DPC_24h_4","DPC_36h_1","DPC_36h_2","DPC_36h_3","DPC_36h_4"
"Cluster 1",1.50589154360207,1.54307091869727,1.58150624473567,1.587290451678,1.70336603016184,1.65829790404842,1.67838882569165,1.70838105965519,1.4692492285416,1.46398272565434,1.49589205272812,1.52588179480888,1.67016976245453,1.63373078376976,1.64085479510338,1.65946601913585,2.11030801723312,2.43106182939206,2.38712607067282,2.44610308712046,2.43004762746533,2.53352591277536,2.48737989033941,2.44917656982029,2.27932283503349,2.41752711813334,2.29920897232449,2.30895878864096,1.83937160032671,1.82840284794892,2.03834656990741,1.89589116276692
"Cluster 2",1.09460569083203,1.09742912576734,1.12880800079106,1.18572266470033,1.30713992605022,1.42958310708132,1.42603661461961,1.45944967969735,1.23161205886893,1.2944878284701,1.35152070554713,1.33297022845409,1.26399811531363,1.33846840936196,1.36999004358661,1.39896470651472,1.28292647765425,1.25655912640186,1.3152890008191,1.37995163798266,1.71027714376958,1.8204046209996,1.79005347151692,1.69413157215453,1.52800301004725,1.76128714644375,1.53510129351971,1.56860400389542,1.62397072170673,1.81959357410564,1.74776781827737,1.8461440534531
"Cluster 3",2.00566606467531,2.19868043885447,1.95519017465749,2.35247981357219,1.86198280410024,2.03292352165492,2.16478428886596,2.13809909324464,2.20491368517395,2.1381446006287,1.98371790044824,2.2409445835425,1.90138367173253,2.02570048823958,2.00869734735126,2.04426341561787,0.586899311826441,0.479407148478898,0.477274411722632,0.511551262070018,0.417895935831403,0.470012826269941,0.448323613419292,0.427627444639356,0.441493869981686,0.405042385645801,0.427811425551507,0.361168900253009,0.443096335174639,0.431782170190832,0.363607808306237,0.395320709063202
"Cluster 4",0.930161749978174,0.849712384494232,0.86235668647912,0.879162264770391,0.975995416269036,0.812379624962941,0.806219429537137,0.838503526178684,0.70655142729348,0.670503011643308,0.692038200560909,0.69103351414258,0.681253077158384,0.713821324765795,0.713500420254934,0.648648636095623,0.865087734330313,0.780876745709932,0.804644122670315,0.792205097350857,0.769410485864004,0.768461512033006,0.744813419311576,0.773176178178534,0.844574245357228,0.882035258458072,0.894189455543022,0.784910282404233,0.84764736748002,0.84675027144671,0.785073935518414,0.86993633657484
"Cluster 5",1.39626502694869,1.34709285449309,1.43055636631575,1.44215708136988,1.55126151838081,1.53309133570315,1.5119551354453,1.5695704965398,1.26795172440068,1.26807958370073,1.26979494128848,1.30502674532928,1.30633869993872,1.33244811597211,1.33365393893288,1.40251562193903,1.39778147617294,1.54778157321895,1.51883696584468,1.5575687125301,1.61305413867724,1.68237278654944,1.63163573928157,1.57211230845808,1.63595608975147,1.72432592219636,1.66672540250831,1.59679337325256,2.25937486364512,2.08837860348469,2.0321252416061,2.24893629228188
"Cluster 6",0.989968872983162,0.959701951005687,1.0262076648694,1.0237876063546,0.957504924364695,0.873527442871965,0.866817499666429,0.855529571244236,1.02505843025831,0.973801317727333,0.992687112546943,1.01022530958001,1.06419268953427,1.02157030744853,1.09018094891459,1.02417459889782,0.865635465454679,0.766570648714343,0.700425266751647,0.702857321700833,0.666010519074773,0.627370816150733,0.646417165397426,0.629984654155581,0.811325519841582,0.850027741151596,0.85011250222257,0.766979443485834,0.941853799420199,0.889418984902265,0.727747363309484,0.831728047854166
"Cluster 7",1.07773556574745,1.09853688739486,1.08634699238859,1.08346792220246,1.13885018569537,1.15101402786705,1.15709734606858,1.13369781317297,0.981665296844043,1.0072483313418,0.999076718174175,1.00480229947353,1.0401992810819,1.03300514462668,1.02868634569023,1.04323566112321,1.292780051848,1.34588382917615,1.30205749906593,1.31426457100582,1.43927000369592,1.43766644288627,1.42840672419622,1.47132339199449,1.52903963205696,1.49835876435364,1.57835135879493,1.52380510857673,1.22921112972322,1.18789047376129,1.27415540804504,1.23994552161997
"Cluster 8",1.15590056572667,1.18332010823834,1.19826302039904,1.22380010307833,1.25988865111656,1.32222968166287,1.33318170821212,1.32178673493385,1.16704728935054,1.06291313385409,1.24408484689719,1.25617299205216,1.26985966852516,1.28167487072171,1.30285332505111,1.33015184078889,1.4955795037178,1.62737502411476,1.59934600901022,1.5589780574833,1.4455495120291,1.51298229670189,1.43064606969635,1.4573623245958,1.33428242642302,1.28248264156318,1.31383344044114,1.29827970720391,0.920642977199483,0.725520176739193,0.875730849794836,0.87714524814202
"Cluster 9",1.55843124374904,2.03247511217151,2.06213721630398,1.60811547505735,1.86077675497175,1.54593725425979,2.02869689605416,1.57190348999688,2.302063041219,2.39928865316952,2.42948618710128,2.38251176960667,2.37082442781093,2.08583033516639,2.44724806403547,2.4956945972045,2.46354339459198,1.8402836142015,1.88619709646659,1.97687940078789,2.686189212824,2.16846907328784,2.13061636719473,1.94151651339005,2.23826212378988,2.27518880924748,2.20037768452956,2.23939856900512,3.17333236462593,3.13157663553425,3.41249017014243,3.31419751978347
"Cluster 10",1.17060310980681,1.11390192613361,1.17802500889237,1.1917152169268,1.13521788193815,1.1497182914455,1.18302512823466,1.19024625589498,1.0779112038235,1.05374062499969,1.04692068194038,1.08907965026728,1.10915916116294,1.14085836951099,1.14804324043263,1.15566933524795,1.33491826466358,1.49948192455166,1.47562839855838,1.40196055616943,1.47527635285615,1.66987637048469,1.76243061291,1.45169688136307,1.07780806713831,1.1961043118781,1.13655575120885,1.26615945113258,1.0339132739523,1.09092168363983,1.16413898247772,1.10064451628995
