"ID","Description","ReporterScore","DPC_0h_1","DPC_0h_2","DPC_0h_3","DPC_0h_4","DPC_3h_1","DPC_3h_2","DPC_3h_3","DPC_3h_4","DPC_6h_1","DPC_6h_2","DPC_6h_3","DPC_6h_4","DPC_9h_1","DPC_9h_2","DPC_9h_3","DPC_9h_4","DPC_12h_1","DPC_12h_2","DPC_12h_3","DPC_12h_4","DPC_18h_1","DPC_18h_2","DPC_18h_3","DPC_18h_4","DPC_24h_1","DPC_24h_2","DPC_24h_3","DPC_24h_4","DPC_36h_1","DPC_36h_2","DPC_36h_3","DPC_36h_4"
"hsa03040","Spliceosome",7.67097312459291,2.859265734685,2.81149171777038,2.92667634217458,2.96064757051223,3.05971560835519,2.95546573569128,3.12490889533308,3.13234435956699,2.77136130873021,2.81820194051768,2.82277030410967,2.96268860339537,2.93859248634345,3.04751042702296,3.05597156248048,3.09246579190082,3.29142525005226,3.51454605744824,3.35556046283687,3.42119463928585,3.76622277589527,3.84569397041022,3.80520704383981,3.73644433353841,3.62712141616963,3.9075378774225,3.80839760507412,3.6378714503815,3.43730376892983,3.50387532530489,3.58914104414957,3.54055854645247
"hsa03013","Nucleocytoplasmic transport",3.93145137650212,1.83388439657116,1.85677892198407,1.88882897433079,1.9063510303836,1.87034956203271,1.92542852520697,1.93931548000516,1.97868319332142,1.85369196788148,1.86749997665123,1.8892689443381,1.93698168030266,1.87339370571975,1.94179092790943,1.94025013619064,1.95728367715874,2.0068307262855,2.13965215411464,2.08486175419827,2.1169762150949,2.21120882444125,2.23688018119235,2.22258089896115,2.19988454972646,2.24236860185481,2.34536700098587,2.32100177848502,2.24301902317921,2.27137701776394,2.30967327343811,2.37146155220015,2.29142214631248
"hsa03010","Ribosome",3.90024326629745,1.42661323656963,1.36907543085178,1.48307694266788,1.49892665987956,1.9036230926074,1.89824895172619,1.89411641199725,2.02105990269482,2.01785382953413,2.06602362676147,2.03647557634755,2.06958130599459,1.89556722920298,1.87411764871718,1.8301221236322,1.88014165947188,1.72601467130951,1.74080850792413,1.71315041214579,1.80077091053485,1.66258084971493,1.70917368482071,1.70022757966232,1.6865032116423,2.09908517381438,2.21965318349596,2.09616947260763,2.11898396604294,3.02479306325561,3.21761978262662,3.23650255893199,3.23486697092608
"hsa01100","Metabolic pathways",3.80569228521908,1.2348374461207,1.18642655404647,1.23913931590825,1.26728181329753,1.27109678624585,1.1088226759407,1.10920875299407,1.14106257200329,1.24613156449914,1.21497144767529,1.21590117571952,1.24273963994017,1.22542684432332,1.25053720816196,1.21509828892648,1.23145900006161,1.10951271693224,1.19821309896044,1.15317987959713,1.1680240292374,1.26387878864385,1.29947881435252,1.29406473833395,1.27396083292757,1.45587094788767,1.5174732872705,1.51003894690172,1.47531374866632,1.89088670554652,1.91281934168071,2.03407899455974,2.01086679168686
"hsa03015","mRNA surveillance pathway",3.58246059572997,1.96588778056865,1.98913815781224,2.0257815601391,2.04366107146329,2.03738296576164,2.05384800129426,2.08260594700329,2.12599852677888,2.01742656465289,2.02243328086653,2.0421006593681,2.09758273027067,2.16030564909363,2.21643298858148,2.217114193693,2.23873256993255,2.18502265421531,2.34561976215272,2.30748426480588,2.29834663825827,2.48127097645143,2.52552647012395,2.46960498252867,2.47067416552288,2.43143304943344,2.58345480765027,2.4989288613216,2.3925452006001,2.36957972768396,2.4513231696454,2.42575150787397,2.41715006523492
"hsa01200","Carbon metabolism",3.36758316341211,1.12117965428816,1.10165384158688,1.15076830180185,1.26889522331396,1.06191163024835,1.00305959671616,0.987739732404729,1.03001542282483,1.06015298527243,1.0857916909286,1.05275841808073,1.11330043655273,1.02829671225462,1.07020241533955,1.0766372556619,1.08182539789647,0.967358131622626,1.01872452881315,0.987549047229142,1.00525060969877,1.15307528787335,1.1906493915128,1.17862197091013,1.13074544628948,1.56113727098199,1.66904115798974,1.62908944325891,1.54338082467258,2.11287017310834,2.01107008455638,2.41107937532638,2.29789991701142
"hsa00980","Metabolism of xenobiotics by cytochrome P450",3.33996254973409,1.5131773189198,1.48747279494106,1.58203641153089,1.61367558752816,1.50606286141973,1.52440019300985,1.70273805655049,1.656765256141,1.63051381558974,1.64419544710448,1.59534466426992,1.80907923127666,1.59578874537065,1.69341985325033,1.7167833718273,1.90797422683423,1.59602458003493,1.79052282976081,1.67945433489267,1.7122142682559,2.02698944899522,2.07933655904919,2.059070195191,1.95130670066257,2.36505070283358,2.53855928341152,2.45574844432239,2.30435162593933,3.28230925736291,3.39489515160108,3.51415369862275,3.46095859194337
"hsa04612","Antigen processing and presentation",3.32807726955204,2.44834014349398,2.37708960674393,2.37876455656076,2.45786726114169,2.28706048207817,2.31809356856499,2.29778146945055,2.29737317854268,2.61746560753992,2.72508367117172,2.66100921945211,2.79584338479669,2.82326447356854,2.78467314930047,2.83330582226711,2.85594358217249,2.7544893060604,2.89960054572123,2.81341042107816,2.74652679990549,3.21550783954061,3.31507734653154,3.28235724109386,3.24615071010079,3.44494733374388,3.4665455436591,3.58114604278151,3.4327893781035,4.19702931887476,3.95577491973125,4.19095033604474,4.30168250811373
"hsa03050","Proteasome",3.23634768506195,1.02839637537468,1.0280222424733,1.03559171779366,1.03976169780576,0.992522593713945,0.979922454269932,1.00965900137983,1.02285047056818,1.21196272740981,1.22337055614103,1.2068010516774,1.22162408875409,1.32609580908559,1.3512649840051,1.36523746012708,1.40106104888709,1.28063082924963,1.36075648043483,1.30939792920988,1.32582191432917,1.45764962414185,1.46905805129553,1.48737327904591,1.44843286807981,1.45289705501193,1.52362667666798,1.53480047363841,1.45106107843359,1.485050181769,1.58807221461541,1.62804919756254,1.66484291245518
"hsa05322","Systemic lupus erythematosus",3.22627831353088,18.0636985054687,15.6324058505044,16.995024773648,16.7535611509554,20.0341917832635,16.7805298704236,16.5556568606071,18.6138131550946,13.816658756038,13.9611639918231,12.8032534440729,13.5363533597809,13.3415054813522,13.2507277976911,13.5397316127642,12.6768273484759,21.7806777277773,19.0916563977976,19.2742638426794,20.3693082509282,21.5909689511567,21.3601332229479,21.4709197120898,20.3970584394714,22.9475659590129,26.3317695291376,24.1030594881206,22.7289667588816,20.6415703815545,20.157542849951,18.6036839696403,21.7618059767668
"hsa03410","Base excision repair",3.14567337909768,1.65722181377489,1.61137531496307,1.65734360361008,1.6402202867482,1.70205871828508,1.67836319338855,1.76004317991676,1.71756867910778,1.48842543009293,1.48801763702818,1.50400787332898,1.51170254354154,1.54803448615986,1.58130152297052,1.61463129043874,1.61416717964277,1.8782905957723,1.99725802597062,1.90212363731346,1.97204070577346,2.18021712597808,2.26921895714047,2.24588232377334,2.13382572671709,2.11613890712058,2.29251351222314,2.19619604612684,2.10824125881245,2.04442735083589,2.04012259485648,2.11702866815858,2.04828473743413
"hsa03030","DNA replication",2.95693362747764,1.64172503755626,1.60553954066638,1.65091267860636,1.65580859310249,1.67131011326162,1.67497842391224,1.72158879860675,1.70780332346142,1.5792569969744,1.58520414566425,1.58334426226596,1.61948447910258,1.59110677522818,1.63296812429661,1.66319699896111,1.67317363133956,1.84183351472948,1.87582320217869,1.7999157850012,1.84186181446374,2.06083901403939,2.08292135498096,2.09697430997686,2.01660397292533,2.07534769110821,2.28335687644549,2.16499171879488,2.06799501258891,2.10724637760149,2.14912380829776,2.17353531325133,2.15815541317428
"hsa00020","Citrate cycle (TCA cycle)",2.76086177263142,0.384116565953108,0.382455600776259,0.461845978558176,0.471695536635669,0.409298982400518,0.433221394305008,0.368559717491608,0.404702284697095,0.420717100859377,0.35520009491039,0.333321774031341,0.379796251698168,0.336560839466844,0.364982706718535,0.373418901286779,0.365334012858784,0.331781087260647,0.354555669393602,0.360846724852586,0.361372753892817,0.520083782776933,0.558737718892429,0.54076519964799,0.526400189612089,1.22858647267865,1.28241248718303,1.25953836312925,1.20070382749553,1.56813106464243,1.30699340834395,1.97362563734965,1.88235933369824
