"KOs","id","Description","cor","p.value","p.adjust","Z_score","type"
"P14550","hsa05208","Chemical carcinogenesis - reactive oxygen species",0.679486774130597,9.48920100137706e-06,2.50217710745313e-05,4.05542353361607,"Enriched"
"P14550","hsa01240","Biosynthesis of cofactors",0.679486774130597,9.48920100137706e-06,2.50217710745313e-05,4.05542353361607,"Enriched"
"P14550","hsa01100","Metabolic pathways",0.679486774130597,9.48920100137706e-06,2.50217710745313e-05,4.05542353361607,"Enriched"
"P14550","hsa00620","Pyruvate metabolism",0.679486774130597,9.48920100137706e-06,2.50217710745313e-05,4.05542353361607,"Enriched"
"P14550","hsa00010","Glycolysis / Gluconeogenesis",0.679486774130597,9.48920100137706e-06,2.50217710745313e-05,4.05542353361607,"Enriched"
"P11766","hsa00980","Metabolism of xenobiotics by cytochrome P450",0.553929435432552,0.000502419589435177,0.000944964197015943,3.10700556732937,"Enriched"
"P11766","hsa00620","Pyruvate metabolism",0.553929435432552,0.000502419589435177,0.000944964197015943,3.10700556732937,"Enriched"
"P11766","hsa00071","Fatty acid degradation",0.553929435432552,0.000502419589435177,0.000944964197015943,3.10700556732937,"Enriched"
"P11766","hsa01100","Metabolic pathways",0.553929435432552,0.000502419589435177,0.000944964197015943,3.10700556732937,"Enriched"
"P11766","hsa00982","Drug metabolism - cytochrome P450",0.553929435432552,0.000502419589435177,0.000944964197015943,3.10700556732937,"Enriched"
"P11766","hsa01200","Carbon metabolism",0.553929435432552,0.000502419589435177,0.000944964197015943,3.10700556732937,"Enriched"
"P11766","hsa00010","Glycolysis / Gluconeogenesis",0.553929435432552,0.000502419589435177,0.000944964197015943,3.10700556732937,"Enriched"
"P11766","hsa04936","Alcoholic liver disease",0.553929435432552,0.000502419589435177,0.000944964197015943,3.10700556732937,"Enriched"
"Q96C23","hsa00010","Glycolysis / Gluconeogenesis",-0.363377709643754,0.0204635195055937,0.0289905508199484,-1.89584078000467,"Depleted"
"Q96C23","hsa01100","Metabolic pathways",-0.363377709643754,0.0204635195055937,0.0289905508199484,-1.89584078000467,"Depleted"
"Q96C23","hsa00052","Galactose metabolism",-0.363377709643754,0.0204635195055937,0.0289905508199484,-1.89584078000467,"Depleted"
"P06733","hsa01200","Carbon metabolism",0.657329596713295,2.18197070730835e-05,5.34189394113212e-05,3.87451359590528,"Enriched"
"P06733","hsa04066","HIF-1 signaling pathway",0.657329596713295,2.18197070730835e-05,5.34189394113212e-05,3.87451359590528,"Enriched"
"P06733","hsa03018","RNA degradation",0.657329596713295,2.18197070730835e-05,5.34189394113212e-05,3.87451359590528,"Enriched"
